TB,Price_chg_bin,FR_chg_bin,0
1,1.0,3.0,1
1,2.0,2.0,1
1,3.0,0.0,2
1,3.0,1.0,3
1,3.0,2.0,6
1,3.0,3.0,3
1,3.0,4.0,1
1,4.0,0.0,2
1,4.0,1.0,2
1,4.0,2.0,5
1,4.0,3.0,3
1,4.0,4.0,2
2,3.0,0.0,1
2,4.0,0.0,2
2,4.0,2.0,2
2,4.0,3.0,1
2,4.0,4.0,1
3,3.0,2.0,1
3,4.0,1.0,1
3,4.0,2.0,2
3,4.0,3.0,1
,0.0,0.0,111
,0.0,1.0,63
,0.0,2.0,42
,0.0,3.0,105
,0.0,4.0,99
,1.0,0.0,101
,1.0,1.0,112
,1.0,2.0,60
,1.0,3.0,62
,1.0,4.0,83
,2.0,0.0,85
,2.0,1.0,98
,2.0,2.0,98
,2.0,3.0,62
,2.0,4.0,75
,3.0,0.0,69
,3.0,1.0,85
,3.0,2.0,90
,3.0,3.0,77
,3.0,4.0,81
,4.0,0.0,47
,4.0,1.0,55
,4.0,2.0,112
,4.0,3.0,104
,4.0,4.0,78
